Name;RG;StrasseHausnummer;PLZ;Ort;Land;AdresseVoll;Latitude;Longitude
WEY043;WEY;Ritterhuder Heerstraße 6;28239;Bremen;DE;Ritterhuder Heerstraße 6, 28239 Bremen, DE;53.1347569;8.7368725
WEY050;WEY;Volkmannstraße 2;28201;Bremen;DE;Volkmannstraße 2, 28201 Bremen, DE;53.0576761;8.8094447
WEY056;WEY;Lindenhofstraße 1 - 15;28237;Bremen;DE;Lindenhofstraße 1 - 15, 28237 Bremen, DE;53.1155914;8.7577709
WEY058;WEY;Weberstraße 7;27753;Delmenhorst;DE;Weberstraße 7, 27753 Delmenhorst, DE;53.0554698;8.6303103
WEY066;WEY;Hemmstraße 353-357;28215;Bremen;DE;Hemmstraße 353-357, 28215 Bremen, DE;53.1009886;8.8151338
WEY072;WEY;Elbestraße 95;27570;Bremerhaven;DE;Elbestraße 95, 27570 Bremerhaven, DE;53.5403163;8.5906733
WEY074;WEY;Enrique-Schmidt-Straße 1;28359;Bremen;DE;Enrique-Schmidt-Straße 1, 28359 Bremen, DE;53.1047431;8.8532319
WEY078;WEY;Stresemannstraße 150;27576;Bremerhaven;DE;Stresemannstraße 150, 27576 Bremerhaven, DE;53.5580420;8.5941736
WEY080;WEY;Hermann-Fortmann-Straße 21;28759;Bremen;DE;Hermann-Fortmann-Straße 21, 28759 Bremen, DE;53.1701222;8.6352240
WEY083;WEY;Weserstrandstraße 17;28779;Bremen;DE;Weserstrandstraße 17, 28779 Bremen, DE;53.1798550;8.5702471
WEY088;WEY;Schwaneweder Straße 27;28779;Bremen;DE;Schwaneweder Straße 27, 28779 Bremen, DE;53.1987972;8.5724275
WEY090;WEY;Dötlinger Straße 10-12;28197;Bremen;DE;Dötlinger Straße 10-12, 28197 Bremen, DE;53.0801455;8.7710029
WEY091;WEY;Langener Landstraße 160;27580;Bremerhaven;DE;Langener Landstraße 160, 27580 Bremerhaven, DE;53.5804188;8.5986697
WEY092;WEY;Hans-Böckler-Straße 38;27578;Bremerhaven;DE;Hans-Böckler-Straße 38, 27578 Bremerhaven, DE;53.5892625;8.6183254
WIL003;WIL;Straßburger Platz 1;01307;Dresden;DE;Straßburger Platz 1, 01307 Dresden, DE;51.0464162;13.7568016
WIL013;WIL;Siegfried-Rädel-Straße 3;01809;Heidenau;DE;Siegfried-Rädel-Straße 3, 01809 Heidenau, DE;50.9817228;13.8596548
WIL024;WIL;Kesselsdorfer Straße 160;01169;Dresden;DE;Kesselsdorfer Straße 160, 01169 Dresden, DE;51.0403480;13.6672265
WIL045;WIL;Prager Straße 11;01069;Dresden;DE;Prager Straße 11, 01069 Dresden, DE;51.0444613;13.7348748
WIL048;WIL;Raimundstraße 1-3;01157;Dresden;DE;Raimundstraße 1-3, 01157 Dresden, DE;51.0571074;13.6875385
WIL068;WIL;Dresdner Straße 33;01558;Großenhain;DE;Dresdner Straße 33, 01558 Großenhain, DE;51.2889050;13.5326263
WIL075;WIL;Dr.-Frieda-Freise Str. 3;09111;Chemnitz;DE;Dr.-Frieda-Freise Str. 3, 09111 Chemnitz, DE;50.8332252;12.9267500
WIL097;WIL;Dr.-Salvador-Allende-Straße 1;09119;Chemnitz;DE;Dr.-Salvador-Allende-Straße 1, 09119 Chemnitz, DE;50.8093066;12.8915514
WIL111;WIL;Theaterstraße 7;09111;Chemnitz;DE;Theaterstraße 7, 09111 Chemnitz, DE;50.8350719;12.9192540
WIL114;WIL;Welzower Straße 26a;03048;Cottbus;DE;Welzower Straße 26a, 03048 Cottbus, DE;51.7403217;14.3235167
BAR010;BAR;Ottenser Hauptstraße 10;22765;Hamburg;DE;Ottenser Hauptstraße 10, 22765 Hamburg, DE;53.5525254;9.9316418
MUN048;MUN;Werner-von-Siemens-Straße 5;37077;Göttingen;DE;Werner-von-Siemens-Straße 5, 37077 Göttingen, DE;51.5580424;9.9305906
MUN054;MUN;Grebensteiner Straße 13;34376;Immenhausen;DE;Grebensteiner Straße 13, 34376 Immenhausen, DE;51.4290637;9.4683094
SIE103;SIE;Gravelottestraße 1;31134;Hildesheim;DE;Gravelottestraße 1, 31134 Hildesheim, DE;52.1474181;9.9631086
WER074;WER;Bahnhofstraße 40;59581;Warstein;DE;Bahnhofstraße 40, 59581 Warstein, DE;51.4879305;8.3363471
RAD057;RAD;Theodor-Heuss-Platz 7;42853;Remscheid;DE;Theodor-Heuss-Platz 7, 42853 Remscheid, DE;51.1823477;7.1874245
SEE043;SEE;Horner Landstraße 110;22111;Hamburg;DE;Horner Landstraße 110, 22111 Hamburg, DE;53.5510651;10.0747942
SIE056;SIE;Vahrenwalder Straße 252;30179;Hannover;DE;Vahrenwalder Straße 252, 30179 Hannover, DE;52.4134145;9.7360427
SEE049;SEE;Freiburger Straße 60;21682;Stade;DE;Freiburger Straße 60, 21682 Stade, DE;53.6097341;9.4779851
SEE113;SEE;Wallstraße 68;19053;Schwerin;DE;Wallstraße 68, 19053 Schwerin, DE;53.6239190;11.4024008
